Município,Codigo_IBGE,Gentílico,Prefeito,Área Territorial,População Estimada,Densidade Demográfica,Escolarização 6 a 14 anos,IDHM,Mortalidade Infantil,Receitas Realizadas,Despesas empenhadas,PIB per capita
CLARAVAL,3116407,claravalense,LUIZ GONZAGA CINTRA,227.627,4873,19.95,96.7,698,-,1799473552,1463068494,2928594
CLARO DOS POÇÕES,3116506,claro-pocense,NORBERTO MARCELINO DE OLIVEIRA NETO,720.424,7478,10.79,97,670,17.24,1804708389,1699709545,856939
CLÁUDIO,3116605,claudiense,REGINALDO DE FREITAS SANTOS,630.706,29093,40.86,96.9,709,12.56,6386386779,5767823899,2491046
COIMBRA,3116704,coimbraense,MAURÍLIO DIAS MASSENSINI,106.875,7631,66.00,97.9,669,13.51,2161160416,1755156939,1418462
COLUNA,3116803,colunense,SADY RIBEIRO DAMAS,348.492,8810,25.89,94.5,583,23.81,1799763111,164881191,967427
COMENDADOR GOMES,3116902,comendadorense,JERÔNIMO SANTANA NETO,1.041.047,3128,2.85,96.9,697,-,2105222306,188443748,3642011
COMERCINHO,3117009,comerciense,EDNALVES ALVES COSTA,654.961,6624,12.67,99.1,593,58.82,1815656945,1685683108,756683
CONCEIÇÃO DA APARECIDA,3117108,aparecidense,JOSE ANTONIO FERREIRA,352.521,10351,27.86,98.8,691,-,2756465176,2456722165,1840682
CONCEIÇÃO DAS PEDRAS,3117207,pedrense,BENEDITO CARLOS PEREIRA,102.206,2814,26.90,96.1,668,-,1294187242,1118759516,1352117
CONCEIÇÃO DAS ALAGOAS,3117306,garimpense,IVAINA REIS DE OLIVEIRA,1.340.250,28782,17.19,95.6,712,16.67,9664271015,8667172228,3280119
CONCEIÇÃO DE IPANEMA,3117405,ipanemense,SAMUEL LOPES DE LIMA,253.935,4581,17.55,98.5,676,-,1526448078,1361233132,1170854
CONCEIÇÃO DO MATO DENTRO,3117504,conceicionense,JOSE FERNANDO APARECIDO DE OLIVEIRA,1.720.040,17438,10.37,97.9,634,17.79,10139789637,8527696717,4155690
CONCEIÇÃO DO PARÁ,3117603,conceição-paraense,JOSE CASSIMIRO RODRIGUES,250.306,5558,20.60,98.2,700,34.48,240363985,2649546709,4718432
CONCEIÇÃO DO RIO VERDE,3117702,conceicionense,PEDRO PAULO,369.681,13729,35.03,95.2,665,12.58,2804656402,2562380074,1552535
CONCEIÇÃO DOS OUROS,3117801,ourense,LUÍS FERNANDO ROSA DE CASTRO,180.236,11852,56.77,97.9,703,-,2517684814,2251653066,1552511
CÔNEGO MARINHO,3117836,cônego marinhense,AGIDÊ ALVES SANTANA,1.610.470,7730,4.32,98.7,621,15.38,1734802371,1648314234,678462
CONFINS,3117876,confinense,GERALDO GONÇALVES DOS SANTOS,42.355,6867,140.15,99.3,747,10.99,4297188278,3880445969,16373037
CONGONHAL,3117900,congonhalense,MOISÉS FERREIRA VAZ,205.125,12209,51.03,97.7,712,18.02,2587460369,2247967638,1691761
CONGONHAS,3118007,congonhense,CLÁUDIO ANTÔNIO DE SOUZA,304.067,55836,159.57,99.1,753,8.68,38595266905,34392524364,3152918
CONGONHAS DO NORTE,3118106,norte-congonhense,FABRICIO APARECIDO OTONI,405.671,5047,12.39,93.9,568,23.26,1450781307,1143365485,799910
CONQUISTA,3118205,conquistense,VÉRA LÚCIA GUARDIEIRO,618.363,6997,10.55,99.7,729,-,3032719353,236131815,4779650
CONSELHEIRO LAFAIETE,3118304,lafaietense,MÁRIO MARCUS LEÃO DUTRA,370.246,130584,314.69,98.7,761,11.59,2242939268,2111921932,1655558
CONSELHEIRO PENA,3118403,conselheiro-penense,NADIA FILOMENA DUTRA FRANCA,1.483.883,22975,14.99,96.2,662,12.4,5032556346,4556184681,1247409
CONSOLAÇÃO,3118502,consolense,ROGILSON APARECIDO MARQUES NOGUEIRA,89.122,1786,19.99,98.4,673,-,1210158362,1034666134,1387469
CONTAGEM,3118601,contagense,MARÍLIA APARECIDA CAMPOS,194.746,673849,3090.33,97.4,756,10.42,171272198018,163266476544,4207702
COQUEIRAL,3118700,coqueirense,ROSSANO DE OLIVEIRA,296.163,9099,31.36,97.4,694,19.61,1990518586,1525102731,1704331
CORAÇÃO DE JESUS,3118809,corjesuense,ROBSON ADALBERTO MOTA DIAS,2.225.216,26620,11.70,96.7,642,7.35,4848496793,4331534375,790243
CORDISBURGO,3118908,cordisburguense,JOSÉ MAURÍCIO GOMES,823.654,8903,10.52,94.6,656,25.97,1771934488,1486436216,1070803
CORDISLÂNDIA,3119005,cordislandense,JOSE ODAIR DA SILVA,179.543,3546,19.13,95.7,660,29.41,1372710734,1067248498,1764910
CORINTO,3119104,corintiano,EVALDO PAULO DOS REIS,2.525.397,23607,9.47,97.5,680,7.55,4787460013,4266476712,1341298
COROACI,3119203,coroaciense,EMERSON DE CARVALHO ANDRADE,576.274,9897,17.82,96.9,626,-,2744339855,2588080822,1090015
COROMANDEL,3119302,coromandelense,FERNANDO BRENO VALADARES VIEIRA,3.313.313,27958,8.31,96.4,708,2.91,8095937906,7216870547,3589518
CORONEL FABRICIANO,3119401,fabricianense,MARCOS VINICIUS DA SILVA BIZARRO,221.252,110709,468.67,98.1,755,7.45,19376712136,17135500272,1556654
CORONEL MURTA,3119500,murtense,JOSÉ AILTON FREIRE JARDIM,815.413,9209,11.18,98.7,627,9.8,2007117867,1670461754,872190
CORONEL PACHECO,3119609,pachequense,MARCOS AURÉLIO VALÉRIO VENÂNCIO,131.511,3095,22.68,99.2,669,-,1334221289,1199179137,1311779
CORONEL XAVIER CHAVES,3119708,xavierense,FÚVIO OLÍMPIO DE OLIVEIRA PINTO,140.954,3448,23.42,97.1,677,-,1256187851,1255964033,1437653
CÓRREGO DANTA,3119807,córrego-dantense,EDNEI MARTINS DE MATOS,657.425,3168,5.16,100,692,37.04,1621968621,1525187263,4446754
CÓRREGO DO BOM JESUS,3119906,correguense,ELIANA DE FATIMA ALVES E SILVA,123.651,3685,30.17,96.8,692,-,1378595077,112222388,971474
CÓRREGO FUNDO,3119955,corregofundense,DANILO OLIVEIRA CAMPOS,101.112,6425,57.26,97.5,678,-,2333116085,2049561024,2657662
CÓRREGO NOVO,3120003,córrego-novense,EDER FRAGOSO DE SOUZA,205.385,2688,15.23,98,632,24.39,1328360311,1180057359,1121228
COUTO DE MAGALHÃES DE MINAS,3120102,couto-magalhense,JOSÉ EDUARDO DE PAULA RABELO,485.654,4436,8.66,98.7,659,17.86,1635179645,1477966576,982262
CRISÓLITA,3120151,crisolitense,RONALDO COSTA FARIAS,966.202,6814,6.26,96,585,10.2,1626874115,1689531259,849428
CRISTAIS,3120201,cristalense,DJALMA FRANCISCO CARVALHO,628.434,13060,17.96,97.3,692,14.71,2911891043,2614855189,1435693
CRISTÁLIA,3120300,cristalense,JAIRO DE MATOS BORGES JUNIO,840.702,5992,6.85,95.3,583,13.16,1744285742,1516584017,738025
CRISTIANO OTONI,3120409,cristianense,CARLOS ROBERTO DE REZENDE,132.872,5161,37.68,99.7,695,14.29,1647954336,1600280035,1420701
CRISTINA,3120508,cristinense,RICARDO PEREIRA AZEVEDO,311.330,10211,32.79,97,668,-,239138931,2280532486,1597830
CRUCILÂNDIA,3120607,crucilandense,ILAERSON FERREIRA DE SOUZA,167.164,5072,28.46,98.6,651,18.87,1827845868,1543133085,1257145
CRUZEIRO DA FORTALEZA,3120706,cruzeirense,AGNALDO FERREIRA DA SILVA,187.446,3651,20.91,97.1,696,16.13,2092901986,1760845738,2345536
CRUZÍLIA,3120805,cruzilense,JOSÉ CARLOS MACIEL DE ALCKMIN,522.419,15529,27.93,98.7,695,14.85,3445270132,3059074971,1487129
CUPARAQUE,3120839,cuparaquense,ROGÉRIO VICENTE MENDES,226.750,5026,20.64,96.3,627,17.54,1634145946,1707137094,1042964
CURRAL DE DENTRO,3120870,curraldentense,ADAILDO ROCHA MOREIRA,570.950,7867,12.17,96.2,585,16.26,1846938476,1705717065,810044
CURVELO,3120904,curvelano,LUIZ PAULO GLORIA GUIMARAES,3.296.200,81085,22.50,98.6,713,12.06,15752710936,15247085863,1926082
DATAS,3121001,datense,NARLISSON DE JESUS MARTINS,310.099,5431,16.80,98,616,25.64,1642432894,1377191173,923966
DELFIM MOREIRA,3121100,delfinense,EDILBERTO MARQUES DA CRUZ,408.473,8007,19.51,96.1,669,33.9,1839272896,167423339,1259982
DELFINÓPOLIS,3121209,delfinopolitano,SUELY ALVES FERREIRA LEMOS,1.378.423,7146,4.95,99,740,-,3203232939,286344615,2322271
DELTA,3121258,deltense,MARCOS ROBERTO ESTEVAM,102.784,10994,78.66,94.4,639,17.09,3234457014,2672696991,3401297
DESCOBERTO,3121308,descobertense,MARCOS DE ARAUJO LIMA,213.168,5044,22.37,95.1,680,37.04,1629530112,1433756348,1297556
DESTERRO DE ENTRE RIOS,3121407,desterrense,WAGNO ALMEIDA DUARTE,377.165,7266,18.56,97.1,639,-,1763178646,1535298892,1882167
DESTERRO DO MELO,3121506,melense,MAYARA GARCIA LOPES DA SILVA TAFURI,142.279,2867,21.19,100,631,-,1476713112,125251382,1180840
DIAMANTINA,3121605,diamantinense,JUSCELINO BRASILIANO ROQUE,3.891.659,47924,11.79,97.8,716,13.91,11378945041,9849166165,1591138
DIOGO DE VASCONCELOS,3121704,vasconcelense,DOMINGOS ANTUNES DE FREITAS,165.091,3779,23.31,97.6,601,-,1438615706,1209925541,833278
DIONÍSIO,3121803,dionisiano,FRANCISCO CASTRO SOUZA FILHO,339.375,7493,25.37,99.6,702,35.09,1743072635,1711714875,1070134
DIVINÉSIA,3121902,divinesiano,CIRLEI ELIZABETE DE FREITAS,116.970,3430,28.15,96.5,657,-,1543749592,1383236415,1372717
DIVINO,3122009,divinense,MAURI VENTURA DO CARMO,337.776,20020,56.64,93.8,605,3.1,4160280106,3789877282,1143125
DIVINO DAS LARANJEIRAS,3122108,divinense,ROMILSON ALVES,342.249,4969,14.43,99.7,661,16.13,1535245087,1402294395,971065
DIVINOLÂNDIA DE MINAS,3122207,divinolandense,RODRIGO MAGALHÃES COELHO,133.120,7655,52.76,97.8,623,11.9,1874936384,1638541841,841170
DIVINÓPOLIS,3122306,divinopolitano,GLEIDSON GONTIJO DE AZEVEDO,708.115,242505,300.82,98.6,764,9.66,62177236962,55213570463,2738818
DIVISA ALEGRE,3122355,divisalegrense,REINILDA PEREIRA DE SOUSA E SILVA,117.802,6946,49.95,98.5,608,-,1912251044,1723710051,2059803
DIVISA NOVA,3122405,divisa-novense,JOSE LUIZ DE FIGUEIREDO,216.955,6039,26.56,97.3,670,45.45,1698832172,1433070771,1496391
DIVISÓPOLIS,3122454,divisopolense,EUDER DE LIMA ROSEMBERG MENDES,572.926,11396,15.66,98.8,609,-,2196608158,1919430069,678022
DOM BOSCO,3122470,dom bosquense,NELSON PEREIRA DE BRITO,817.383,3635,4.67,99.2,673,-,1371426245,1067412525,1382814
DOM CAVATI,3122504,dom-cavatiano,JOSE SANTANA JUNIOR,59.520,5025,87.52,99.4,688,-,1568998044,136348329,1087902
DOM JOAQUIM,3122603,dom-joaquinense,GERALDO ADILSON GONÇALVES,398.793,4436,11.37,98.9,622,-,1740367552,1324947758,984868
DOM SILVÉRIO,3122702,dom-silveriense,JOSÉ BRÁULIO ALEIXO,194.972,5227,26.65,97.6,709,29.41,1605520184,1483511899,1633365
DOM VIÇOSO,3122801,dom-viçosense,FRANCISCO ROSINEI PINTO,113.921,2992,26.28,98,687,-,1272240568,111423607,1034682
DONA EUZÉBIA,3122900,donaeuzebense ou donaeuzebiense,MANOEL FRANKLIN RODRIGUES,70.231,6664,85.45,98.7,701,12.5,1742807278,1374903021,1199499
DORES DE CAMPOS,3123007,dorense,MARCIO ANTÔNIO PINHEIRO,124.842,10291,74.49,99.2,686,-,2117431881,1828187592,2696782
DORES DE GUANHÃES,3123106,dorense,WELERSON ÚLTIMO DE SOUZA,382.124,5139,13.67,97.9,636,-,1919515303,1589766519,2379400
DORES DO INDAIÁ,3123205,dorense,ALEXANDRO COÊLHO FERREIRA,1.111.202,13373,12.40,97.2,719,10.64,3704497284,3430948285,1696975
DORES DO TURVO,3123304,dorense,VALDIR RIBEIRO DE BARROS,231.169,4202,19.30,97.8,629,20.41,1498838538,1287638768,1067520
DORESÓPOLIS,3123403,doresopolitano,ELITON LUIZ MOREIRA,152.912,1539,9.42,96.5,692,-,1342719857,1099408905,3269498
DOURADOQUARA,3123502,douradoquarense,FLAVIO RESENDE DE SOUSA,312.878,1915,5.88,98.6,706,52.63,142973382,1236428495,2886882
DURANDÉ,3123528,durandeense,JOSE ELIAS RODRIGUES PEREIRA,217.461,7898,34.13,95.1,645,7.81,1830067085,1764278917,1265579
ELÓI MENDES,3123601,elói-mendense,PAULO ROBERTO BELATO CARVALHO,499.537,28556,50.49,97.3,685,12.38,5910107768,5258716385,1839940
ENGENHEIRO CALDAS,3123700,engenheiro-caldense,SAMUEL DUTRA JUNIOR,187.058,11268,54.96,97.4,644,8.47,2897123456,2585985705,1046407
ENGENHEIRO NAVARRO,3123809,navarrense,HUGO FELIPE DE ALMEIDA SILVA,608.306,7240,11.71,98.6,655,14.93,1778566933,1649639277,913537
ENTRE FOLHAS,3123858,entrefolhense,AILTON SILVEIRA DIAS,85.390,5383,60.73,97.8,634,-,1437393055,74661437,921595
ENTRE RIOS DE MINAS,3123908,entrerrianos,JOSE WALTER RESENDE AGUIAR,456.796,15458,31.18,99.6,672,20,2868877511,2569877537,1368327
ERVÁLIA,3124005,ervalense,ELOISIO ANTÔNIO DE CASTRO,357.489,19019,50.20,93.6,625,16.95,4088794944,3952301796,1608786
ESMERALDAS,3124104,esmeraldense,MARCELO NONATO FIGUEIREDO,909.751,72512,66.20,97.3,671,11.34,11483789048,10677517115,983271
ESPERA FELIZ,3124203,espera-felizense,MAURELIO CARLOS DA SILVA,317.638,25287,71.96,96.9,663,8.43,5579192248,5107218215,1689030
ESPINOSA,3124302,espinosense,MILTON BARBOSA LIMA,1.868.970,31603,16.65,95.7,627,16.79,5676483879,549606885,1015454
ESPÍRITO SANTO DO DOURADO,3124401,douradense,ADALTO LUIS LEAL,263.879,4728,16.78,99.1,685,-,1563795567,1349783243,1665430
ESTIVA,3124500,estivense,VAGNER ABILIO BELIZARIO,243.872,11416,44.47,95.6,691,8.93,2656043907,2005509088,2278883
ESTRELA DALVA,3124609,estrela-dalvense,DIEGO COUTINHO DA COSTA,131.365,2308,18.80,98.1,710,50,1267546271,1097177966,1298916
ESTRELA DO INDAIÁ,3124708,estrelense,WESLEY DANIEL RIBEIRO ARAUJO,635.981,3483,5.53,97.3,676,-,1657543348,1436359086,2755291
ESTRELA DO SUL,3124807,estrela-sulense,DAYSE MARIA SILVA GALANTE,822.454,8057,09.05,96.7,696,-,2188521291,1933466786,7231896
EUGENÓPOLIS,3124906,eugenopolense,JUAREZ LUIZ BREIJÃO,309.395,11383,34.07,97.6,675,10.42,2424999551,2186898789,1413788
EWBANK DA CÂMARA,3125002,ewbanquense,JOSÉ MARIA NOVATO,103.834,3932,36.14,96.9,676,21.28,1406205239,1180978245,982109
EXTREMA,3125101,extremense,JOÃO BATISTA DA SILVA,244.575,37649,116.93,97.5,732,7.23,24273201716,17856582941,26845918
FAMA,3125200,famense,OSMAIR LEAL DOS REIS,86.024,2374,27.32,99,717,-,1302803202,1050513132,1678384
FARIA LEMOS,3125309,faria-lemense,GILBERTO DAMAS DE SOUSA,165.224,3202,20.43,98,687,25.64,1328825965,1103900533,1663010
FELÍCIO DOS SANTOS,3125408,feliz-santense,RICARDO JOSÉ ROCHA,357.622,4656,14.38,97.7,606,-,1708239873,1623006515,897815
SÃO GONÇALO DO RIO PRETO,3125507,são-gonçalense,DILSON DE FÁTIMA MOREIRA,314.458,3178,9.72,98.5,640,34.48,1507309636,1251643327,1066083
FELISBURGO,3125606,felisburguense,IDEUVAN DE SOUZA AVELAR,596.215,7548,11.53,96,583,-,1762238645,1625784884,770156
FELIXLÂNDIA,3125705,felixlandense,VANDERLI DE CARVALHO BARBOSA,1.554.627,15528,09.08,98,648,16.13,4191188591,319129138,1460674
FERNANDES TOURINHO,3125804,fernandes-tourinhense,VICENTE DE PAULA GERMANO,151.875,3500,19.95,99.6,646,34.48,1346478764,1225426777,1162624
FERROS,3125903,ferrense,RAIMUNDO MENEZES DE CARVALHO FILHO,1.088.791,9576,9.95,97.9,603,29.13,2987615014,243559718,1160407
FERVEDOURO,3125952,fervedourense,CARLOS CORINDON DE ARAUJO,357.683,11100,28.93,96.1,580,6.25,2451608426,2214222616,1010706
FLORESTAL,3126000,florestalense,WAGNER DOS SANTOS JUNIOR,194.242,7602,34.48,98.8,724,15.87,2136481274,1999906729,1518152
FORMIGA,3126109,formiguense,EUGÊNIO VILELA JÚNIOR,1.501.915,67956,43.36,97.4,755,8.68,17246138495,1466277262,2510798
FORMOSO,3126208,formosense,DINARTE HENRIQUE GUEDES DE ORNELAS,3.686.004,9810,2.22,96.4,640,23.53,2355137386,2147213003,2130662
FORTALEZA DE MINAS,3126307,fortalezense,ADENILSON QUEIROZ,218.792,4460,18.73,86.8,670,33.33,2007193981,169122141,1477975
FORTUNA DE MINAS,3126406,fortunense,CLAUDIO GARCIA MACIEL,198.709,2986,13.61,98.6,696,33.33,1494982445,1378779333,1284153
FRANCISCO BADARÓ,3126505,badarosense,ANTONIO REGINALDO MARTINS MOREIRA,461.481,10311,22.21,98.5,622,14.71,1943959942,183112745,629848
FRANCISCO DUMONT,3126604,francisco-dumonsense,EDUARDO RABELO FONSECA,1.576.128,5268,03.09,96.3,625,-,1621335019,1520263217,1211401
FRANCISCO SÁ,3126703,francisco-saense,MÁRIO OSVALDO RODRIGUES CASASANTA,2.747.295,26459,09.07,98.8,654,17.3,5412823806,4383614147,1382693
FRANCISCÓPOLIS,3126752,franciscopolitano,NILTON DOS SANTOS COIMBRA,717.087,5287,08.09,97.9,603,20,1699169952,1620264321,1305276
FREI GASPAR,3126802,frei-gasparense,EDSON ALVES DOS SANTOS,626.672,5858,9.38,96.8,590,-,171229319,1553775747,921923
FREI INOCÊNCIO,3126901,frei-inocenciano,JIMMY DUTRA GOULART,469.557,9716,19.00,98.3,648,21.28,2047481601,1864506332,1064018
FREI LAGONEGRO,3126950,frei lagonegrense,GERALDO FERREIRA DA SILVA,167.474,3496,19.88,96.6,543,26.32,1430566477,1262923593,897263
FRONTEIRA,3127008,fronteirense,SÉRGIO PAULO CAMPOS,199.987,18866,70.21,96.3,684,22.39,5425484026,4985682543,5172591
FRONTEIRA DOS VALES,3127057,fronteirista-dos-vales,ADAILTON RODRIGUES DA SILVA,320.757,4542,14.61,97,592,-,1462498044,1377256878,786369
FRUTA DE LEITE,3127073,fruta de leitense,NIXON MARLON GONÇALVES DAS NEVES,762.837,5232,7.79,94.7,544,55.56,1504964157,127064134,728301
FRUTAL,3127107,frutalense,BRUNO AUGUSTO DE JESUS FERREIRA,2.426.965,60508,22.03,97.6,730,9.13,15468222782,13645663637,3218844
FUNILÂNDIA,3127206,funilandense,EDSON VARGAS DIAS,199.797,4434,19.29,97.4,655,-,1909915795,1581566883,1250235
GALILÉIA,3127305,galileense,JUAREZ DA SILVA LIMA,720.355,6764,9.65,95.8,654,12.5,1818863475,1655220588,1248000
GAMELEIRAS,3127339,gameleirense,GILMAR RODRIGUES DE OLIVEIRA,1.733.203,5084,2.97,98.9,650,13.89,1583742637,1336175145,787206
GLAUCILÂNDIA,3127354,glaucilandense,HERIVELTO ALVES LUIZ,145.861,3177,20.31,99.8,679,-,1249126251,1086368996,968822
GOIABEIRA,3127370,goiabeirense,SAMUEL FERREIRA DA SILVA,112.443,3402,27.15,96.8,647,-,148092313,1323245202,1147887
GOIANÁ,3127388,goianaense,ESTEVAM DE ASSIS BARREIROS,152.039,4014,24.07,99.4,716,-,1435620267,132603857,1515279
GONÇALVES,3127404,gonçalvense,MARCIO DONIZETTI DE OLIVEIRA,187.353,4360,22.52,98.9,683,-,1561055313,12888153,1433991
GONZAGA,3127503,gonzaguense,EFIGENIA MARIA MAGALHAES,209.348,6184,28.28,98.9,606,14.08,1773923046,1639263428,832154
GOUVEIA,3127602,gouveiano,ANTONIO VICENTE DE SOUZA,866.601,11811,13.48,98.5,681,22.73,245518285,2293022846,1095165
GOVERNADOR VALADARES,3127701,valadarense,ANDRÉ LUIZ COELHO MERLO,2.342.325,282164,112.58,97.2,727,14.23,81356906417,77463751839,2227879
GRÃO MOGOL,3127800,grão-mogolense,DIÊGO ANTONIO BRAGA FAGUNDES,3.885.294,15943,3.87,96.7,604,5.99,4243614697,3756125336,3972549
GRUPIARA,3127909,grupiarense,RONALDO JOSÉ MACHADO,193.141,1386,7.11,100,731,-,1531390596,1407272699,2068487
GUANHÃES,3128006,guanhanense,DORIS CAMPOS COELHO,1.075.124,34818,29.08,98.5,686,8.83,8863837946,754818398,2033597
GUAPÉ,3128105,guapense,NELSON ALVES LARA,934.345,14269,14.85,98,679,07.04,3851705725,3399987876,1667112
GUARACIABA,3128204,guaraciabense,ADEMAR FERNANDES MOREIRA,348.596,10307,29.33,97.3,623,20,2404422191,2241387727,842307
GUARACIAMA,3128253,guaraciamense,JOSÉ MARIA FIGUEIREDO SOBRINHO,390.263,5005,12.09,95.8,677,-,1512924645,125911515,1207753
GUARANÉSIA,3128303,guaranesiano,LAERCIO CINTRA NOGUEIRA,294.828,19014,63.47,97.6,701,25.1,440303924,4249030266,2302755
GUARANI,3128402,guaraniense,FERNANDO EDUARDO PINHEIRO BELLOTTI,264.194,8926,32.85,97.6,677,-,2447253941,2290276285,1409653
GUARARÁ,3128501,guararense,JOSE MAURÍCIO DE SALES,88.655,3755,44.32,99.3,652,27.78,1578822594,1281497571,1175376
GUARDA-MOR,3128600,guarda-morense,JOSÉ DIAS DE OLIVEIRA,2.068.808,6558,3.17,97.8,690,23.53,3945748656,3098256401,5618680
GUAXUPÉ,3128709,guaxupeano,HEBER HAMILTON QUINTELLA,286.398,52234,172.59,96.7,751,8.55,12640674884,11647639847,3899283
GUIDOVAL,3128808,guidovalense,LUCIANA RODRIGUES PALMEIRA,158.375,7026,45.50,97.9,683,-,1910475421,1740899708,1274591
GUIMARÂNIA,3128907,guimaranense,ADÍLIO ALEX DOS REIS,366.833,8168,19.80,97.7,693,9.43,2408286712,2213670038,1946738
GUIRICEMA,3129004,guiricemense,JOSE OSCAR FERRAZ,293.578,8296,29.66,99.5,674,12.66,1831276663,168397728,1041169
GURINHATÃ,3129103,gurinhantense,WENDER LUCIANO DE ARAUJO SILVA,1.849.137,5516,3.32,97.1,680,-,2748454831,2610707984,2138321
HELIODORA,3129202,heliodorense,ALEX LEOPOLDINO DE LIMA,153.950,6623,39.76,97,657,16.39,2019570389,1496434256,1480602
IAPU,3129301,iapuense,JOSE PEREIRA VIANA,340.994,11085,30.29,97,654,-,2548109631,2155420931,914232
IBERTIOGA,3129400,ibertiogano,SEBASTIAO RODRIGUES MONTEIRO,346.240,4999,14.54,99,657,-,1568154736,1372205842,1320569
IBIÁ,3129509,ibiaense,MARLENE APARECIDA DE SOUZA SILVA,2.704.132,25511,8.59,97.9,718,14.29,7193742681,5998982534,4015239
IBIAÍ,3129608,ibiaiense,SANDRA MARIA FONSECA CARDOSO,874.760,8478,8.96,97,614,10.31,1958407839,1831801865,809731
IBIRACATU,3129657,ibiracatuense,ARLIS SOARES COUTINHO,353.257,5340,17.42,98,591,-,1670340977,1702206098,770030
IBIRACI,3129707,ibiraciense,ISMAEL SILVA CÂNDIDO,562.095,14128,21.66,93.4,706,-,439722153,3549914321,3908336
IBIRITÉ,3129806,ibiritenense,WILLIAM PARREIRA DUARTE,72.395,184030,2190.26,97.5,704,11.62,35105516339,28744168674,1259935
IBITIÚRA DE MINAS,3129905,ibitiurense,ALEXANDRE DE CASSIO BORGES,68.316,3497,49.51,92.4,674,31.25,1342725623,1176934322,1444846
IBITURUNA,3130002,ibiturunense,FRANCISCO ANTONIO PEREIRA,153.106,3003,18.72,98.7,675,-,1339060433,106538142,1267345
ICARAÍ DE MINAS,3130051,icaraiense,GONÇALO ANTÔNIO MENDES DE MAGALHÃES,625.664,12200,17.18,95.4,624,17.24,2170966895,1962563606,680306
IGARAPÉ,3130101,igarapeense,ARNALDO DE OLIVEIRA CHAVES,110.942,44561,316.07,96.5,698,11.67,884327094,8220580216,1624512
IGARATINGA,3130200,igaratinguense,FABIO ALVES COSTA FONSECA,218.343,11146,42.43,93.9,651,30.53,3219036719,2599901932,3488903
IGUATAMA,3130309,iguatamense,LUCAS VIEIRA LOPES,628.200,7901,12.78,97.7,707,14.08,2264978364,2054041466,3949943
IJACI,3130408,ijaciense,FABIANO DA SILVA MORETI,105.246,6667,55.67,98.6,714,11.24,2775548824,2381559506,4372688
ILICÍNEA,3130507,ilicineaense,NIRLEI CRISTIANI,376.341,12511,30.53,97.9,680,6.49,2824248725,2440089016,1526036
IMBÉ DE MINAS,3130556,imbeense,JOAO BATISTA DA CRUZ,196.735,6976,32.65,97.6,553,37.04,1594785458,1918389911,910861
INCONFIDENTES,3130606,inconfidentino,ROSÂNGELA MARIA DANTAS,149.611,7387,46.17,95.7,692,16.95,1843080778,1596953539,1343751
INDAIABIRA,3130655,indaiabirense,VANDERLUCIO DE OLIVEIRA,1.004.149,7328,7.30,97.8,610,14.29,1891066155,169190466,789812
INDIANÓPOLIS,3130705,indianopolense,LINDOMAR AMARO BORGES,830.030,7009,7.46,98.1,674,-,364602896,2855511486,6306838
INGAÍ,3130804,ingaiense,GIULLIANO RIBEIRO PINTO,305.591,2785,8.60,98.7,697,37.04,1339674519,126306341,2239833
INHAPIM,3130903,inhapinhense,MÁRCIO ELIAS DE LIMA E SANTOS,858.024,24020,28.31,97.9,658,15.81,4429989525,4456000781,1261026
INHAÚMA,3131000,inhaumense,GERALDO CUSTÓDIO SILVA JUNIOR,244.996,6352,23.51,99.4,702,16.39,2161647192,2027428122,1806401
INIMUTABA,3131109,inimutabense,EMERSOMM DANEZZI,527.060,7605,12.82,98.3,664,32.26,1868208602,1791380316,989432
IPABA,3131158,ipabense,GILBERTO PEREIRA SOARES JUNIOR,113.246,18926,147.69,98.6,665,4.37,3343575331,2918308742,813098
IPANEMA,3131208,ipanemense,JULIO FONTOURA DE MORAES JUNIOR,456.641,20133,39.79,98.5,693,8.2,4312601423,3997126,1079526
IPATINGA,3131307,ipatinguense,GUSTAVO MORAIS NUNES,164.884,267333,1452.34,97.8,771,10.41,6824658331,63373444559,4375766
IPIAÇU,3131406,ipiaçuense,RAFAEL EVANGELISTA CAPANEMA,466.020,4229,8.81,98.7,696,-,2178115525,2059195915,2220500
IPUIÚNA,3131505,ipuiunense,ELDER CASSIO DE SOUZA OLIVA,298.195,10156,31.93,97.6,686,29.41,2215428567,2130045584,1338844
IRAÍ DE MINAS,3131604,iraiense,CLEITON GOMES DA CRUZ,356.264,7067,18.15,95,695,11.36,22939454,2078403396,3448202
ITABIRA,3131703,itabirano,MARCO ANTONIO LAGE,1.253.704,121717,87.57,98.7,756,13.87,50159832424,42881311789,5554411
ITABIRINHA,3131802,itabirense,LUCAS COIMBRA DONADIA,209.034,11637,51.16,96.2,653,15.04,2617624263,2401923572,984124
ITABIRITO,3131901,itabiritense,ORLANDO AMORIM CALDEIRA,544.027,52996,83.76,99.4,730,6.76,26276519078,25413581149,9771187
ITACAMBIRA,3132008,itacambirano,GERALDO MOISÉS DE SOUZA,1.788.445,5447,2.79,95.3,628,-,1661630036,1453715111,1097510
ITACARAMBI,3132107,itacarambiense,NÍVEA MARIA DE OLIVEIRA,1.225.273,18175,14.46,97.6,641,25.09,5415735784,4850475419,1052160
ITAGUARA,3132206,itaguarense,GERALDO DONIZETE DE LIMA,410.468,13510,30.14,96.4,691,-,3353995238,3044866268,2069042
