Município,Codigo_IBGE,Gentílico,Prefeito,Área Territorial,População Estimada,Densidade Demográfica,Escolarização 6 a 14 anos,IDHM,Mortalidade Infantil,Receitas Realizadas,Despesas empenhadas,PIB per capita
ARAPUÁ,3103801,arapuaense,JOAO BATISTA TERTO DA CUNHA,173.894,2836,15.96,98.3,724,-,1461227368,1205213723,3998173
ARAÚJOS,3103900,araujense,GERALDO MAGELA DA SILVA,245.522,9523,32.11,95.6,698,8,2217560343,188252522,3333817
ARAXÁ,3104007,araxaense,RUBENS MAGELA DA SILVA,1.164.062,108403,80.45,97.1,772,12.14,39869825624,33153824895,5877485
ARCEBURGO,3104106,arceburguense,GILSON PEREIRA DE MELLO,162.875,10990,58.38,98.7,683,-,3378375198,2835742739,2718578
ARCOS,3104205,arcoense,CLAUDENIR JOSÉ DE MELO,509.873,40658,71.78,98.4,749,7.66,10698503099,955649004,3194572
AREADO,3104304,areadense,DOUGLAS ÁVILA MOREIRA,283.124,15288,48.50,98.2,727,14.29,3121374703,2922735876,1538332
ARGIRITA,3104403,argiritense,ALEX ANDRADE ANZOLIN,159.378,2681,18.20,96.4,643,29.41,1389535026,1292354467,1203676
ARICANDUVA,3104452,aricanduvense ou aricanduvano,VALDEIR SANTOS COIMBRA,243.329,5305,19.60,98.1,582,-,1526028627,1438305586,995681
ARINOS,3104502,arinense,MARCÍLIO ÁLISSON FONSECA DE ALMEIDA,5.279.419,17850,3.35,96.6,656,16.48,4008415402,3721005573,1222279
ASTOLFO DUTRA,3104601,astolfo-dutrense,BRUNO RIBEIRO,158.891,14358,82.13,98.6,694,7.14,3296121133,2883708248,1889837
ATALÉIA,3104700,ataleiense,GILSON BOTELHO BASTOS,1.836.925,12496,7.87,96.7,588,16.13,2805208998,2523583958,968969
AUGUSTO DE LIMA,3104809,augusto-limense,FABIANO HENRIQUE DOS PASSOS,1.254.832,4833,3.95,99,656,-,1655279648,1541137557,1458154
BAEPENDI,3104908,baependiano,DOUGLAS STADUTO SOUZA,750.554,19249,24.39,96,681,9.43,4816606752,3936811332,1438508
BALDIM,3105004,baldinense,FABRICIO ANDRADE MAGALHÃES,556.266,7780,14.23,96.5,671,13.51,1914793219,1689999704,1433264
BAMBUÍ,3105103,bambuiense,OLIVIO JOSÉ TEIXEIRA,1.455.819,23964,15.62,98.6,741,8.55,5921390451,5326285261,2276291
BANDEIRA,3105202,bandeirense,SIDNEI ALVES DOS SANTOS,483.789,4738,10.31,98.7,599,25.64,1699514495,1698431734,899848
BANDEIRA DO SUL,3105301,bandeirante-do-sul,EDERVAN LEANDRO DE FREITAS,47.266,5808,113.41,96.7,692,13.7,1673733493,1403900812,1275446
BARÃO DE COCAIS,3105400,cocaiense,DÉCIO GERALDO DOS SANTOS,340.140,33232,83.51,98.9,722,22.44,8423986062,8161723564,2508936
BARÃO DE MONTE ALTO,3105509,monte-altense,FÁBIO SOARES GUIMARÃES,198.313,5311,28.84,100,649,-,1815129099,1841302448,891338
BARBACENA,3105608,barbacenense,CARLOS AUGUSTO SOARES DO NASCIMENTO,759.186,139061,166.34,98.4,769,9.22,34402475121,32099176424,2097096
BARRA LONGA,3105707,barra-longuense,FERNANDO JOSÉ CARNEIRO MAGALHÃES,383.628,4905,16.01,97.6,624,-,1910924914,1622908473,1161551
BARROSO,3105905,barrosense,ANDERSON GERALDO DE PAULA,82.070,20981,238.81,99.2,734,19.38,4435061762,3847787742,1911933
BELA VISTA DE MINAS,3106002,bela-vistano,SAMANTHA APARECIDA DE ÁVILA COSTA MAGALHÃES,109.143,10269,91.66,100,674,18.18,3231460744,2941777429,2480297
BELMIRO BRAGA,3106101,belmirense,JOSÉ PAULO DE OLIVEIRA FRANCO,393.086,3422,8.66,99.2,660,-,1823188896,1326778904,1503546
BELO HORIZONTE,3106200,belo-horizontino,ALEXANDRE KALIL,331.354,2530701,7167.00,97.6,810,10.49,10145985448,1003641754367,3675966
BELO ORIENTE,3106309,belo-orientino,HAMILTON ROMULO DE MENEZES CARVALHO,334.909,27277,69.86,98.9,686,14.16,9070886291,7791057918,6419742
BELO VALE,3106408,belo-valense,WALTENIR LIBERATO SOARES,365.923,7723,20.59,97.1,655,10.75,4564225353,3912319355,1973626
BERILO,3106507,berilense,ELANE LUIZ ALVES,587.106,11813,20.95,98.9,628,20.2,2305172672,2180716464,791303
BERTÓPOLIS,3106606,bertopolitano,ARISTIDES ANGELO ROSSI DEPOLO,427.803,4609,10.51,83.9,594,78.95,1487940294,1449419707,802334
BERIZAL,3106655,berizalense,JOÃO CARLOS LUCAS LOPES,488.756,4792,8.94,97.8,604,46.88,1475546765,1346360767,880027
BETIM,3106705,betinense,VITTORIO MEDIOLI,343.884,450024,1102.80,98,749,13.06,177573338546,136340208923,5891158
BIAS FORTES,3106804,bias-fortense,FABRÍCIO JOSÉ DA FONSECA ALMEIDA,283.535,3282,13.38,97.8,620,-,1293227311,982212826,945829
BICAS,3106903,biquense,HELBER MARQUES CORRÊA,140.082,14612,97.46,98.9,744,41.96,3265062989,2921742232,1744150
BIQUINHAS,3107000,biquinhense,ARISLEU FERREIRA PIRES,458.948,2482,5.73,99.1,688,76.92,1490628149,1472513256,1672837
BOA ESPERANÇA,3107109,esperancense,HIDERALDO HENRIQUE SILVA,860.669,40308,44.75,96.9,704,10.42,10896321953,10079009633,2045128
BOCAINA DE MINAS,3107208,bocainense,LUZIMAR DE MOURA BENFICA,503.770,5088,9.94,96.4,645,-,1495350879,129535803,1124364
BOCAIÚVA,3107307,bocaiuvense,ROBERTO JAIRO TORRES,3.206.757,50521,14.45,97.8,700,7.51,10142683053,9254163204,1689606
BOM DESPACHO,3107406,bom-despachense,BERTOLINO DA COSTA NETO,1.213.546,51436,37.28,98.3,750,12.48,13132881743,11941110166,2620517
BOM JARDIM DE MINAS,3107505,bom-jardinense,JOAQUIM LAÉRCIO RODRIGUES,412.021,6444,15.78,98.8,673,-,1875121875,1717166555,1668023
BOM JESUS DA PENHA,3107604,bom-jesuense,NEI ANDRÉ FREIRE,208.349,4270,18.66,98.7,735,20,2077049565,1675693563,2959846
BOM JESUS DO AMPARO,3107703,bom-jesuense,PEDRO DOS SANTOS MOREIRA,195.611,6182,28.07,97.5,683,13.51,1879302378,2017020908,1415146
BOM JESUS DO GALHO,3107802,bom-jesuense,ANIBAL BORGES,592.289,14792,25.94,97.2,623,19.61,2853417908,2409937345,1009597
